Contracts,Order No.,Transaction Time(UTC+0),Leverage,Direction,Order Type,Filled Type,Filled Qty,Filled Price,Order Price,Trading Fee Rate,Fees Paid,Transaction ID
CROUSDT,850-Sell,2022-05-16 08:00:00,5,Open Short,--,Funding,27600,0.18793,0.00000,-7.691e-05,-0.39892201,b4c3bf8e
ZECUSDT,850-Sell,2022-05-16 08:00:00,10,Open Short,--,Funding,120,105.72,0.00,0.00018202,2.30917853,a80d39f7
CROUSDT,850-Sell,2022-05-16 00:00:00,5,Open Short,--,Funding,27600,0.20351,0.00000,0.00038664,2.17170894,4d4440b3
ZECUSDT,850-Sell,2022-05-16 00:00:00,10,Open Short,--,Funding,120,112.56,0.00,0.00017086,2.3078402,9d2fda5f
CROUSDT,f8508d3f,2022-05-15 21:37:14,5,Open Short,Limit,Trade,3993,0.20460,0.20460,0.0001,0.08169678,0572de05
CROUSDT,f8508d3f,2022-05-15 21:37:13,5,Open Short,Limit,Trade,4507,0.20460,0.20460,0.0001,0.09221322,6e693091
CROUSDT,f8508d3f,2022-05-15 21:37:13,5,Open Short,Limit,Trade,19100,0.20460,0.20460,0.0001,0.390786,ddd0fe7b
ZECUSDT,850-Sell,2022-05-15 16:00:00,10,Open Short,--,Funding,120,104.39,0.00,0.00081998,10.27172547,98d38e09
ZECUSDT,3dbe3d3c,2022-05-15 12:16:56,10,Open Short,Limit,Trade,68.41,108.95,108.95,0.0001,0.74532695,20004ab9
ZECUSDT,3dbe3d3c,2022-05-15 12:16:51,10,Open Short,Limit,Trade,51.59,108.95,108.95,0.0001,0.56207305,31fa14a5
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.01,29200.00,Market,0.0006,0.1752,b51663a0
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.06,29200.00,Market,0.0006,1.0512,1d292d66
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.184,29200.00,Market,0.0006,3.22368,65bc3d51
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.031,29200.00,Market,0.0006,0.54312,32e1897f
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.067,29200.00,Market,0.0006,1.17384,e7e424ec
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.001,29200.00,Market,0.0006,0.01752,da8c54c1
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.005,29200.00,Market,0.0006,0.0876,435b0c37
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.5,29200.00,Market,0.0006,8.76,695c39c5
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.033,29200.00,Market,0.0006,0.57816,55e151b0
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.025,29200.00,Market,0.0006,0.438,92c7847f
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.003,29200.00,Market,0.0006,0.05256,f18839bd
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.12,29200.00,Market,0.0006,2.1024,933bd651
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.1,29200.00,Market,0.0006,1.752,d3aa5c2e
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.025,29200.00,Market,0.0006,0.438,1c53d1fb
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.052,29200.00,Market,0.0006,0.91104,09919b14
BTCUSDT,f86d3bfd,2022-05-11 12:51:28,7,Close Long,Market,Trade,0.073,29200.00,Market,0.0006,1.27896,d9de7c3b
BTCUSDT,a7a348f5,2022-05-11 12:31:15,7,Open Long,Limit,Trade,0.617,30900.00,30900.00,0.0001,1.90653,7fc890cd
BTCUSDT,6850-Buy,2022-05-11 08:00:00,7,Open Long,--,Funding,0.672,30608.27,0.00,0.0001,2.05687575,279344f3
BTCUSDT,6850-Buy,2022-05-11 00:00:00,7,Open Long,--,Funding,0.672,31015.33,0.00,0.0001,2.08423018,b91db2a1
BTCUSDT,d4098d8f,2022-05-10 19:09:53,7,Open Long,Limit,Trade,0.672,31550.00,31550.00,0.0001,2.12016,29671a9e
BTCUSDT,e035fe6f,2022-05-10 14:53:07,7,Close Long,Market,Trade,1.113,30859.50,Market,0.0006,20.6079741,25dd817f
BTCUSDT,e035fe6f,2022-05-10 14:53:07,7,Close Long,Market,Trade,0.003,30860.00,Market,0.0006,0.055548,1cb9a88c
BTCUSDT,e035fe6f,2022-05-10 14:53:07,7,Close Long,Market,Trade,0.096,30860.00,Market,0.0006,1.777536,585f2f9c
BTCUSDT,e035fe6f,2022-05-10 14:53:07,7,Close Long,Market,Trade,0.005,30860.00,Market,0.0006,0.09258,b8f63e09
BTCUSDT,e035fe6f,2022-05-10 14:53:07,7,Close Long,Market,Trade,0.04,30860.00,Market,0.0006,0.74064,27bde948
BTCUSDT,e035fe6f,2022-05-10 14:53:07,7,Close Long,Market,Trade,0.004,30860.00,Market,0.0006,0.074064,436b172c
BTCUSDT,6850-Buy,2022-05-10 08:00:00,7,Open Long,--,Funding,1.261,31616.93,0.00,0.0001,3.98689488,9eca6c7e
NEARUSDT,552913bf,2022-05-10 00:10:30,10,Close Short,Market,Trade,1.5,9.174,Market,0.0006,0.0082566,4e1b7438
NEARUSDT,552913bf,2022-05-10 00:10:30,10,Close Short,Market,Trade,0.9,9.174,Market,0.0006,0.00495396,82088d36
NEARUSDT,552913bf,2022-05-10 00:10:30,10,Close Short,Market,Trade,80.3,9.173,Market,0.0006,0.44195514,c83661d3
NEARUSDT,552913bf,2022-05-10 00:10:30,10,Close Short,Market,Trade,68.9,9.173,Market,0.0006,0.37921182,0aaf17f5
NEARUSDT,552913bf,2022-05-10 00:10:30,10,Close Short,Market,Trade,29,9.173,Market,0.0006,0.1596102,f92a3ec2
NEARUSDT,552913bf,2022-05-10 00:10:30,10,Close Short,Market,Trade,46.4,9.172,Market,0.0006,0.25534848,d4938669
NEARUSDT,552913bf,2022-05-10 00:10:30,10,Close Short,Market,Trade,233.1,9.170,Market,0.0006,1.2825162,74b1c533
NEARUSDT,552913bf,2022-05-10 00:10:30,10,Close Short,Market,Trade,442.3,9.169,Market,0.0006,2.43326922,df8bd65d
NEARUSDT,552913bf,2022-05-10 00:10:30,10,Close Short,Market,Trade,1,9.169,Market,0.0006,0.0055014,69d40993
NEARUSDT,552913bf,2022-05-10 00:10:30,10,Close Short,Market,Trade,98.3,9.168,Market,0.0006,0.54072864,54db5fe0
NEARUSDT,552913bf,2022-05-10 00:10:30,10,Close Short,Market,Trade,98.3,9.167,Market,0.0006,0.54066966,bc184b96
BTCUSDT,6850-Buy,2022-05-10 00:00:00,7,Open Long,--,Funding,1.261,30090.49,0.00,0.0001,3.79441079,32424a85
NEARUSDT,850-Sell,2022-05-10 00:00:00,10,Open Short,--,Funding,1100,9.405,0.000,-0.0001,-1.03455,8693eb28
BTCUSDT,ebee9839,2022-05-09 17:05:59,7,Open Long,Limit,Trade,1.261,31016.00,31016.00,0.0001,3.9111176,5def398d
NEARUSDT,850-Sell,2022-05-09 16:00:00,10,Open Short,--,Funding,1100,10.893,0.000,0.00045279,5.42546562,2b993ed8
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,476.6,2.3835,Market,0.0006,0.68158566,b2f76e85
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,52.1,2.3835,Market,0.0006,0.07450821,786abb32
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,37.2,2.3835,Market,0.0006,0.05319972,8bcb7f3c
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,335.3,2.3835,Market,0.0006,0.47951253,bc1fd559
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,1032.7,2.3835,Market,0.0006,1.47686427,6044bb4c
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,0.4,2.3835,Market,0.0006,0.00057204,8559ee32
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,335.3,2.3840,Market,0.0006,0.47961312,ab329fe7
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,12.6,2.3840,Market,0.0006,0.01802304,521410fb
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,335.3,2.3845,Market,0.0006,0.47971371,67c0ef2f
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,335.3,2.3845,Market,0.0006,0.47971371,49ec1840
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,1032.7,2.3845,Market,0.0006,1.47748389,e7ee08c8
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,14.8,2.3845,Market,0.0006,0.02117436,3b273100
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,335.1,2.3855,Market,0.0006,0.47962863,8f99cc71
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,38.6,2.3855,Market,0.0006,0.05524818,8e036d4f
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,413,2.3855,Market,0.0006,0.5911269,21dcd193
KNCUSDT,385ec159,2022-05-09 10:27:04,8,Close Long,Market,Trade,413,2.3860,Market,0.0006,0.5912508,de375d86
NEARUSDT,850-Sell,2022-05-09 08:00:00,10,Open Short,--,Funding,1100,11.199,0.000,-0.0001,-1.23189,2a106534
KNCUSDT,6850-Buy,2022-05-09 08:00:00,8,Open Long,--,Funding,5200,2.3115,0.0000,-0.00023335,-2.80482033,dd42c907
NEARUSDT,850-Sell,2022-05-09 00:00:00,10,Open Short,--,Funding,1100,11.140,0.000,-3.756e-05,-0.46026024,5c5467ed
KNCUSDT,6850-Buy,2022-05-09 00:00:00,8,Open Long,--,Funding,5200,2.4001,0.0000,-0.00047005,-5.86646842,b3f8a5fc
KNCUSDT,aa0beee6,2022-05-08 22:42:19,8,Open Long,Limit,Trade,484.4,2.3770,2.3770,0.0001,0.11514188,926447d7
KNCUSDT,aa0beee6,2022-05-08 22:42:19,8,Open Long,Limit,Trade,1631.4,2.3770,2.3770,0.0001,0.38778378,1a402a3a
KNCUSDT,aa0beee6,2022-05-08 22:42:19,8,Open Long,Limit,Trade,1444.4,2.3770,2.3770,0.0001,0.34333388,ad0be4d2
KNCUSDT,aa0beee6,2022-05-08 22:42:19,8,Open Long,Limit,Trade,842,2.3770,2.3770,0.0001,0.2001434,82117f8d
KNCUSDT,aa0beee6,2022-05-08 22:42:19,8,Open Long,Limit,Trade,238.9,2.3770,2.3770,0.0001,0.05678653,29a6ddd0
KNCUSDT,aa0beee6,2022-05-08 22:42:19,8,Open Long,Limit,Trade,272.9,2.3770,2.3770,0.0001,0.06486833,d0cfe4f1
KNCUSDT,aa0beee6,2022-05-08 22:42:18,8,Open Long,Limit,Trade,286,2.3770,2.3770,0.0001,0.0679822,6805bcd6
NEARUSDT,850-Sell,2022-05-08 16:00:00,10,Open Short,--,Funding,1100,10.442,0.000,-2.99e-06,-0.03434373,2c65cff1
NEARUSDT,850-Sell,2022-05-08 08:00:00,10,Open Short,--,Funding,1100,10.231,0.000,7.827e-05,0.88085841,16d3e7d4
NEARUSDT,850-Sell,2022-05-08 00:00:00,10,Open Short,--,Funding,1100,10.437,0.000,0.0001886,2.16526002,060b4fe3
NEARUSDT,850-Sell,2022-05-07 16:00:00,10,Open Short,--,Funding,1100,10.709,0.000,0.0001265,1.49015735,e3d00fa7
NEARUSDT,850-Sell,2022-05-07 08:00:00,10,Open Short,--,Funding,1100,10.602,0.000,9.772e-05,1.13963019,8f2fc0ea
NEARUSDT,850-Sell,2022-05-07 00:00:00,10,Open Short,--,Funding,1100,10.777,0.000,3.752e-05,0.44478835,aea8e850
NEARUSDT,850-Sell,2022-05-06 16:00:00,10,Open Short,--,Funding,1100,10.744,0.000,-7.082e-05,-0.83697908,70a62142
NEARUSDT,850-Sell,2022-05-06 08:00:00,10,Open Short,--,Funding,1100,10.716,0.000,3.178e-05,0.37460993,92cb326e
NEARUSDT,850-Sell,2022-05-06 00:00:00,10,Open Short,--,Funding,1100,11.217,0.000,-0.0001,-1.23387,d6043102
NEARUSDT,850-Sell,2022-05-05 16:00:00,10,Open Short,--,Funding,1100,11.224,0.000,-0.0001,-1.23464,3fcf9ca2
NEARUSDT,850-Sell,2022-05-05 08:00:00,10,Open Short,--,Funding,1100,12.708,0.000,-0.0001,-1.39788,59f887cf
NEARUSDT,850-Sell,2022-05-05 00:00:00,10,Open Short,--,Funding,1100,12.977,0.000,0.0002004,2.86064988,643bbc1f
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,2802,0.8620,Market,0.0006,1.4491944,7d04d019
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,7,0.8620,Market,0.0006,0.0036204,6829eabc
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,5850,0.8619,Market,0.0006,3.025269,a249126f
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,91,0.8619,Market,0.0006,0.04705974,02a8c18f
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,2576,0.8618,Market,0.0006,1.33199808,a82c91ea
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,585,0.8618,Market,0.0006,0.3024918,a0475b89
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,59,0.8617,Market,0.0006,0.03050418,64c18217
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,4664,0.8616,Market,0.0006,2.41110144,4f705575
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,1,0.8616,Market,0.0006,0.00051696,d54b6367
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,28,0.8616,Market,0.0006,0.01447488,3327c597
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,1360,0.8615,Market,0.0006,0.702984,54a1c6b6
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,2577,0.8615,Market,0.0006,1.3320513,a8a9fcd1
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,1094,0.8615,Market,0.0006,0.5654886,718e2376
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,6,0.8614,Market,0.0006,0.00310104,b1196f76
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,48,0.8614,Market,0.0006,0.02480832,39e99095
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,3,0.8613,Market,0.0006,0.00155034,a09414b9
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,1,0.8613,Market,0.0006,0.00051678,56fda1df
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,183,0.8613,Market,0.0006,0.09457074,903639ff
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,5806,0.8612,Market,0.0006,3.00007632,83a87ede
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,350,0.8612,Market,0.0006,0.180852,1b3dc6da
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,165,0.8612,Market,0.0006,0.0852588,93a67c90
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,234,0.8610,Market,0.0006,0.1208844,9ccd58ed
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,1495,0.8580,Market,0.0006,0.769626,15745338
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,948,0.8579,Market,0.0006,0.48797352,49fd0d40
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,1124,0.8577,Market,0.0006,0.57843288,ddbd093a
ADAUSDT,39a54444,2022-05-04 18:48:40,8,Close Short,Market,Trade,125,0.8576,Market,0.0006,0.06432,3fdfcab5
BTCUSDT,db99b3f5,2022-05-04 16:22:35,7,Close Short,Market,Trade,0.31,39350.00,Market,0.0006,7.3191,38cebae7
BTCUSDT,db99b3f5,2022-05-04 16:22:35,7,Close Short,Market,Trade,0.01,39350.00,Market,0.0006,0.2361,a122efae
BTCUSDT,db99b3f5,2022-05-04 16:22:35,7,Close Short,Market,Trade,0.003,39350.00,Market,0.0006,0.07083,c6cb38d6
BTCUSDT,db99b3f5,2022-05-04 16:22:35,7,Close Short,Market,Trade,0.2,39350.00,Market,0.0006,4.722,808e4f38
BTCUSDT,db99b3f5,2022-05-04 16:22:35,7,Close Short,Market,Trade,0.25,39350.00,Market,0.0006,5.9025,93e88e16
BTCUSDT,db99b3f5,2022-05-04 16:22:35,7,Close Short,Market,Trade,0.001,39350.00,Market,0.0006,0.02361,d11ab83c
BTCUSDT,db99b3f5,2022-05-04 16:22:35,7,Close Short,Market,Trade,0.008,39350.00,Market,0.0006,0.18888,f51837e9
BTCUSDT,db99b3f5,2022-05-04 16:22:35,7,Close Short,Market,Trade,0.085,39350.00,Market,0.0006,2.00685,946e7bfd
BTCUSDT,db99b3f5,2022-05-04 16:22:35,7,Close Short,Market,Trade,0.055,39350.00,Market,0.0006,1.29855,4f582862
NEARUSDT,850-Sell,2022-05-04 16:00:00,10,Open Short,--,Funding,1100,12.065,0.000,0.00021743,2.88562225,7071f2b1
BTCUSDT,850-Sell,2022-05-04 16:00:00,7,Open Short,--,Funding,0.922,38975.92,0.00,-8.784e-05,-3.15660051,845da3d7
ADAUSDT,850-Sell,2022-05-04 16:00:00,8,Open Short,--,Funding,32182,0.8288,0.0000,0.00010574,2.82034398,ce51a497
ADAUSDT,448263ad,2022-05-04 11:03:04,8,Open Short,Limit,Trade,19034,0.8263,0.8263,0.0001,1.57277942,eb50b76a
ADAUSDT,448263ad,2022-05-04 11:03:04,8,Open Short,Limit,Trade,5500,0.8263,0.8263,0.0001,0.454465,46128bf3
ADAUSDT,448263ad,2022-05-04 11:03:04,8,Open Short,Limit,Trade,969,0.8263,0.8263,0.0001,0.08006847,0568766a
ADAUSDT,448263ad,2022-05-04 11:03:04,8,Open Short,Limit,Trade,1288,0.8263,0.8263,0.0001,0.10642744,89ad1ad9
ADAUSDT,448263ad,2022-05-04 11:03:04,8,Open Short,Limit,Trade,1171,0.8263,0.8263,0.0001,0.09675973,4b1f24b9
ADAUSDT,448263ad,2022-05-04 11:03:04,8,Open Short,Limit,Trade,1172,0.8263,0.8263,0.0001,0.09684236,83f083be
ADAUSDT,448263ad,2022-05-04 11:03:04,8,Open Short,Limit,Trade,3048,0.8263,0.8263,0.0001,0.25185624,ebfc5c0f
SANDUSDT,8886f15c,2022-05-04 11:02:21,7,Close Short,Market,Trade,112,2.2854,Market,0.0006,0.15357888,ada2866a
